iteration,best_nse,best_r2,best_pbias,best_rmse,median_nse,median_r2,median_pbias,median_rmse,Basin
1,0.549153954293959,0.596721846333567,0.4,8.4233000588362,-4.13360651721905,0.183176627735007,48,28.4235936581414,Navaluenga
2,0.602663455230474,0.647851815982104,0,7.90764919514899,-2.37055743875013,0.225369405481715,31.8,23.0313276203842,Navaluenga
3,0.562487888921378,0.628880319009321,3.5,8.29780412718832,-2.2433066850308,0.239050893739338,34.8,22.5923885031799,Navaluenga
1,0.707097682501859,0.719346755921669,0.1,3.03566872895684,0.0188178498623259,0.398537337096969,11.5,5.55606634593515,Matallana
2,0.724905812830916,0.738633890214161,0,2.94193910998835,0.359830150508616,0.489944521024768,-0.75,4.48787296292566,Matallana
3,0.700400020314548,0.709931566577514,0,3.07018017303797,0.401874607559706,0.51672104536983,2,4.33799543570657,Matallana
1,0.262193307229531,0.490723684367779,43,1.31804936403277,-1.77656424074955,0.221856799293271,159.9,2.55690279443316,Villarejo de Montalban
2,0.369585570602825,0.498895486696716,29.4,1.21835388700647,-0.752185318757153,0.275141095946296,125.55,2.03118895654766,Villarejo de Montalban
3,0.226860015668957,0.489043338046838,80.4,1.34924074505769,-0.69065898517164,0.296447779332003,132,1.9952083175724,Villarejo de Montalban
1,0.346422284248031,0.629823269100034,0,4.12458282266821,-4.15621189023826,0.215578832794949,12.2,11.5850194259068,Peralejo de las Truchas
2,0.207040302204803,0.608633792281197,0.1,4.54314887097448,-3.34057877042291,0.233752430086917,18.25,10.6293138676814,Peralejo de las Truchas
3,-0.429508945107778,0.471249278195087,9.8,6.09992997271244,-4.76184444096184,0.188027350303378,23.8,12.246503864701,Peralejo de las Truchas
1,-0.013256224373178,0.612227112159373,0,3.73586435128849,-3.34776754674441,0.28210644996478,14.7,7.73863920387076,Priego Escabas
2,0.0618713960900319,0.608615518978912,0.2,3.59469996574518,-2.3299051675,0.319167429515593,15.9,6.77247362955863,Priego Escabas
3,-0.233789842094027,0.551875592327828,6,4.12241826539818,-3.00153896407759,0.275584348721851,17.4,7.42411999579283,Priego Escabas
1,0.589703221269474,0.622297507410301,0.1,2.03976304331916,-0.546863628684518,0.217399861299577,-5,3.96055990800665,Santa Maria del Val
2,0.58429480122762,0.634963946617982,0,2.05316282938924,-0.253793037998655,0.253053768398275,-3.9,3.56569004119261,Santa Maria del Val
3,0.509755566636774,0.510941038592296,0,2.22965157045444,-0.578378209557055,0.2098266460281,2.4,4.00070196312783,Santa Maria del Val
1,0.281476392365649,0.507974565832992,0.2,0.190112113253036,-11.2105515885027,0.0652198216646811,4.95,0.783712708439991,Jabalera
2,0.428308709545815,0.560400034481231,0.3,0.169578213814999,-1.98164528556941,0.0973945954168712,-61.7,0.387272843341003,Jabalera
3,0.329407920468828,0.604544066076329,38.6,0.183661648589378,-0.387889134046833,0.0972124719437548,-84.3,0.264219898192801,Jabalera
